2024-05-08 17:31:12 [http-nio-8090-exec-2] INFO 	o.a.c.c.C.[Tomcat].[localhost].[/]-[DirectJDKLog.java:173]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-08 17:31:12 [http-nio-8090-exec-2] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:525]-Initializing Servlet 'dispatcherServlet'
2024-05-08 17:31:12 [http-nio-8090-exec-2] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:547]-Completed initialization in 1 ms
2024-05-08 17:31:12 [http-nio-8090-exec-2] ERROR	com.practise.Controller.p_Controller-[p_Controller.java:39]-From controller
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1007]-Disable delta property : false
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1008]-Single vip registry refresh property : null
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1009]-Force full registry fetch : false
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1010]-Application is null : false
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1011]-Registered Applications size is zero : true
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1013]-Application version is -1: false
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1097]-Getting all instance registry info from the eureka server
2024-05-08 17:31:25 [DiscoveryClient-CacheRefreshExecutor-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1106]-The response status is 200
2024-05-08 17:35:55 [AsyncResolver-bootstrap-executor-0] INFO 	c.n.d.s.r.aws.ConfigClusterResolver-[ConfigClusterResolver.java:43]-Resolving eureka endpoints via configuration
2024-05-08 17:40:55 [AsyncResolver-bootstrap-executor-0] INFO 	c.n.d.s.r.aws.ConfigClusterResolver-[ConfigClusterResolver.java:43]-Resolving eureka endpoints via configuration
2024-05-08 17:45:55 [AsyncResolver-bootstrap-executor-0] INFO 	c.n.d.s.r.aws.ConfigClusterResolver-[ConfigClusterResolver.java:43]-Resolving eureka endpoints via configuration
2024-05-08 17:50:55 [AsyncResolver-bootstrap-executor-0] INFO 	c.n.d.s.r.aws.ConfigClusterResolver-[ConfigClusterResolver.java:43]-Resolving eureka endpoints via configuration
2024-05-08 17:55:55 [AsyncResolver-bootstrap-executor-0] INFO 	c.n.d.s.r.aws.ConfigClusterResolver-[ConfigClusterResolver.java:43]-Resolving eureka endpoints via configuration
2024-05-08 17:59:22 [File Watcher] INFO 	o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener-[LocalDevToolsAutoConfiguration.java:211]-Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-05-08 17:59:22 [Thread-1] INFO 	o.s.c.n.e.s.EurekaServiceRegistry-[EurekaServiceRegistry.java:62]-Unregistering application PRACTISE_FOR_PRODUCTION with eureka with status DOWN
2024-05-08 17:59:22 [Thread-1] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1352]-Saw local status change event StatusChangeEvent [timestamp=1715171362601, current=DOWN, previous=UP]
2024-05-08 17:59:22 [DiscoveryClient-InstanceInfoReplicator-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:873]-DiscoveryClient_PRACTISE_FOR_PRODUCTION/CWDT107:Practise_For_Production:8090: registering service...
2024-05-08 17:59:22 [Thread-1] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:173]-Pausing ProtocolHandler ["http-nio-8090"]
2024-05-08 17:59:22 [Thread-1] INFO 	o.a.catalina.core.StandardService-[DirectJDKLog.java:173]-Stopping service [Tomcat]
2024-05-08 17:59:22 [Thread-1] INFO 	o.a.c.c.C.[Tomcat].[localhost].[/]-[DirectJDKLog.java:173]-Destroying Spring FrameworkServlet 'dispatcherServlet'
2024-05-08 17:59:22 [DiscoveryClient-InstanceInfoReplicator-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:882]-DiscoveryClient_PRACTISE_FOR_PRODUCTION/CWDT107:Practise_For_Production:8090 - registration status: 204
2024-05-08 17:59:22 [Thread-1] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:173]-Stopping ProtocolHandler ["http-nio-8090"]
2024-05-08 17:59:22 [Thread-1] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:173]-Destroying ProtocolHandler ["http-nio-8090"]
2024-05-08 17:59:22 [Thread-1] INFO 	o.s.o.j.LocalContainerEntityManagerFactoryBean-[AbstractEntityManagerFactoryBean.java:651]-Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-08 17:59:22 [Thread-1] INFO 	com.zaxxer.hikari.HikariDataSource-[HikariDataSource.java:350]-HikariPool-1 - Shutdown initiated...
2024-05-08 17:59:22 [Thread-1] INFO 	com.zaxxer.hikari.HikariDataSource-[HikariDataSource.java:352]-HikariPool-1 - Shutdown completed.
2024-05-08 17:59:22 [Thread-1] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:935]-Shutting down DiscoveryClient ...
2024-05-08 17:59:25 [Thread-1] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:971]-Unregistering ...
2024-05-08 17:59:25 [Thread-1] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:973]-DiscoveryClient_PRACTISE_FOR_PRODUCTION/CWDT107:Practise_For_Production:8090 - deregister  status: 200
2024-05-08 17:59:25 [Thread-1] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:960]-Completed shut down of DiscoveryClient
