2024-05-08 17:17:01 [restartedMain] INFO 	c.p.PractiseForProductionApplication-[StartupInfoLogger.java:55]-Starting PractiseForProductionApplication using Java 17.0.9 on CWDT107 with PID 30728 (C:\Users\DhavalAjmera\Documents\workspace-spring-tool-suite-4-4.21.0.RELEASE\Practise_For_Production\target\classes started by DhavalAjmera in C:\Users\DhavalAjmera\Documents\workspace-spring-tool-suite-4-4.21.0.RELEASE\Practise_For_Production)
2024-05-08 17:17:01 [restartedMain] INFO 	c.p.PractiseForProductionApplication-[SpringApplication.java:632]-No active profile set, falling back to 1 default profile: "default"
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.d.r.c.RepositoryConfigurationDelegate-[RepositoryConfigurationDelegate.java:132]-Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.d.r.c.RepositoryConfigurationDelegate-[RepositoryConfigurationDelegate.java:201]-Finished Spring Data repository scanning in 8 ms. Found 1 JPA repository interfaces.
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.cloud.context.scope.GenericScope-[GenericScope.java:283]-BeanFactory id=38ed14e7-8f01-3c29-af2d-a1084dbc34b8
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.b.w.e.tomcat.TomcatWebServer-[TomcatWebServer.java:108]-Tomcat initialized with port(s): 8090 (http)
2024-05-08 17:17:02 [restartedMain] INFO 	o.a.catalina.core.StandardService-[DirectJDKLog.java:173]-Starting service [Tomcat]
2024-05-08 17:17:02 [restartedMain] INFO 	o.a.catalina.core.StandardEngine-[DirectJDKLog.java:173]-Starting Servlet engine: [Apache Tomcat/9.0.83]
2024-05-08 17:17:02 [restartedMain] INFO 	o.a.c.c.C.[Tomcat].[localhost].[/]-[DirectJDKLog.java:173]-Initializing Spring embedded WebApplicationContext
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.b.w.s.c.ServletWebServerApplicationContext-[ServletWebServerApplicationContext.java:292]-Root WebApplicationContext: initialization completed in 346 ms
2024-05-08 17:17:02 [restartedMain] INFO 	o.h.jpa.internal.util.LogHelper-[LogHelper.java:31]-HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-08 17:17:02 [restartedMain] INFO 	com.zaxxer.hikari.HikariDataSource-[HikariDataSource.java:110]-HikariPool-30 - Starting...
2024-05-08 17:17:02 [restartedMain] INFO 	com.zaxxer.hikari.HikariDataSource-[HikariDataSource.java:123]-HikariPool-30 - Start completed.
2024-05-08 17:17:02 [restartedMain] INFO 	org.hibernate.dialect.Dialect-[Dialect.java:175]-HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2024-05-08 17:17:02 [restartedMain] INFO 	o.h.e.t.j.p.i.JtaPlatformInitiator-[JtaPlatformInitiator.java:52]-HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.o.j.LocalContainerEntityManagerFactoryBean-[AbstractEntityManagerFactoryBean.java:437]-Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-08 17:17:02 [restartedMain] WARN 	o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration-[JpaBaseConfiguration.java:223]-spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-08 17:17:02 [restartedMain] WARN 	o.s.b.d.a.OptionalLiveReloadServer-[OptionalLiveReloadServer.java:62]-Unable to start LiveReload server
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration-[DiscoveryClientOptionalArgsConfiguration.java:68]-Eureka HTTP Client uses RestTemplate.
2024-05-08 17:17:02 [restartedMain] WARN 	o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger-[LoadBalancerCacheAutoConfiguration.java:82]-Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.c.n.eureka.InstanceInfoFactory-[InstanceInfoFactory.java:67]-Setting initial instance status as: STARTING
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:372]-Initializing Eureka in region us-east-1
2024-05-08 17:17:02 [restartedMain] INFO 	c.n.d.s.r.aws.ConfigClusterResolver-[ConfigClusterResolver.java:43]-Resolving eureka endpoints via configuration
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1007]-Disable delta property : false
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1008]-Single vip registry refresh property : null
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1009]-Force full registry fetch : false
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1010]-Application is null : false
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1011]-Registered Applications size is zero : true
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1013]-Application version is -1: true
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1097]-Getting all instance registry info from the eureka server
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1106]-The response status is 200
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1321]-Starting heartbeat executor: renew interval is: 30
2024-05-08 17:17:02 [restartedMain] INFO 	c.n.discovery.InstanceInfoReplicator-[InstanceInfoReplicator.java:60]-InstanceInfoReplicator onDemand update allowed rate per min is 4
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:492]-Discovery Client initialized at timestamp 1715168822586 with initial instances count: 0
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.c.n.e.s.EurekaServiceRegistry-[EurekaServiceRegistry.java:41]-Registering application PRACTISE_FOR_PRODUCTION with eureka with status UP
2024-05-08 17:17:02 [restartedMain] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1352]-Saw local status change event StatusChangeEvent [timestamp=1715168822587, current=UP, previous=STARTING]
2024-05-08 17:17:02 [DiscoveryClient-InstanceInfoReplicator-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:873]-DiscoveryClient_PRACTISE_FOR_PRODUCTION/CWDT107:Practise_For_Production:8090: registering service...
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.b.w.e.tomcat.TomcatWebServer-[TomcatWebServer.java:220]-Tomcat started on port(s): 8090 (http) with context path ''
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.c.n.e.s.EurekaAutoServiceRegistration-[EurekaAutoServiceRegistration.java:144]-Updating port to 8090
2024-05-08 17:17:02 [DiscoveryClient-InstanceInfoReplicator-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:882]-DiscoveryClient_PRACTISE_FOR_PRODUCTION/CWDT107:Practise_For_Production:8090 - registration status: 204
2024-05-08 17:17:02 [restartedMain] INFO 	c.p.PractiseForProductionApplication-[StartupInfoLogger.java:61]-Started PractiseForProductionApplication in 0.83 seconds (JVM running for 12139.051)
2024-05-08 17:17:02 [restartedMain] INFO 	o.s.b.d.a.ConditionEvaluationDeltaLoggingListener-[ConditionEvaluationDeltaLoggingListener.java:63]-Condition evaluation unchanged
2024-05-08 17:17:17 [File Watcher] INFO 	o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener-[LocalDevToolsAutoConfiguration.java:211]-Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-05-08 17:17:17 [Thread-175] INFO 	o.s.c.n.e.s.EurekaServiceRegistry-[EurekaServiceRegistry.java:62]-Unregistering application PRACTISE_FOR_PRODUCTION with eureka with status DOWN
2024-05-08 17:17:17 [Thread-175] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:1352]-Saw local status change event StatusChangeEvent [timestamp=1715168837235, current=DOWN, previous=UP]
2024-05-08 17:17:17 [DiscoveryClient-InstanceInfoReplicator-0] INFO 	c.netflix.discovery.DiscoveryClient-[DiscoveryClient.java:873]-DiscoveryClient_PRACTISE_FOR_PRODUCTION/CWDT107:Practise_For_Production:8090: registering service...
